"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 14 04:30:17 UTC 2022","Mon Nov 14 04:30:20 UTC 2022","2931","","Registration test","","Registration test","From main page","From main page",""
"passed","Mon Nov 14 04:29:13 UTC 2022","Mon Nov 14 04:29:18 UTC 2022","4471","","Storage page content test","","Storage page content test","Storage test page","Storage test page",""
"passed","Mon Nov 14 04:29:00 UTC 2022","Mon Nov 14 04:29:14 UTC 2022","14407","","E2E Login test","","E2E Login test","Login with correct credentials","Login with correct credentials",""
"passed","Mon Nov 14 04:28:54 UTC 2022","Mon Nov 14 04:29:01 UTC 2022","7303","","Main page tests","","Main page tests","Drop-down menu test","Drop-down menu test",""
"passed","Mon Nov 14 04:28:54 UTC 2022","Mon Nov 14 04:29:00 UTC 2022","5837","","E2E Login test","","E2E Login test","Login with wrong email","Login with wrong email",""
"passed","Mon Nov 14 04:28:47 UTC 2022","Mon Nov 14 04:28:54 UTC 2022","6540","","E2E Login test","","E2E Login test","Login with wrong password","Login with wrong password",""
"passed","Mon Nov 14 04:30:27 UTC 2022","Mon Nov 14 04:30:33 UTC 2022","5898","","Verification function test","","Verification function test","Resend verification test","Resend verification test",""
"passed","Mon Nov 14 04:29:32 UTC 2022","Mon Nov 14 04:29:44 UTC 2022","11970","","Main page tests","","Main page tests","Side menu test","Side menu test",""
"passed","Mon Nov 14 04:30:45 UTC 2022","Mon Nov 14 04:31:07 UTC 2022","22340","","Support center test","","Support center test","Collections links test","Collections links test",""
"passed","Mon Nov 14 04:28:38 UTC 2022","Mon Nov 14 04:28:44 UTC 2022","5779","","Forgot password page test","","Forgot password page test","Function test","Function test",""
"passed","Mon Nov 14 04:29:34 UTC 2022","Mon Nov 14 04:29:39 UTC 2022","4732","","Verification function test","","Verification function test","Resend verification test","Resend verification test",""
"passed","Mon Nov 14 04:29:01 UTC 2022","Mon Nov 14 04:29:10 UTC 2022","9600","","Main page tests","","Main page tests","Side menu test","Side menu test",""
"passed","Mon Nov 14 04:26:44 UTC 2022","Mon Nov 14 04:26:51 UTC 2022","7721","","Community page test","","Community page test","Search test","Search test",""
"passed","Mon Nov 14 04:26:28 UTC 2022","Mon Nov 14 04:26:36 UTC 2022","7933","","Community page login test","","Community page login test","Login test","Login test",""
"passed","Mon Nov 14 04:28:08 UTC 2022","Mon Nov 14 04:28:31 UTC 2022","23092","","Developers page test","","Developers page test","API 1 test","API 1 test",""
"passed","Mon Nov 14 04:30:07 UTC 2022","Mon Nov 14 04:30:13 UTC 2022","5647","","Storage page content test","","Storage page content test","SIP page test","SIP page test",""
"passed","Mon Nov 14 04:28:10 UTC 2022","Mon Nov 14 04:28:16 UTC 2022","6167","","Forgot password page test","","Forgot password page test","Function test","Function test",""
"passed","Mon Nov 14 04:26:38 UTC 2022","Mon Nov 14 04:26:47 UTC 2022","8393","","Community registration","","Community registration","Registration in community","Registration in community",""
"broken","Mon Nov 14 04:27:08 UTC 2022","Mon Nov 14 04:28:08 UTC 2022","60003","","Developers page test","","Developers page test","Side panel","Side panel",""
"passed","Mon Nov 14 04:29:53 UTC 2022","Mon Nov 14 04:29:59 UTC 2022","5992","","Storage page content test","","Storage page content test","Storage test page","Storage test page",""
"passed","Mon Nov 14 04:29:40 UTC 2022","Mon Nov 14 04:29:49 UTC 2022","8957","","Support center test","","Support center test","Search field test","Search field test",""
"passed","Mon Nov 14 04:30:02 UTC 2022","Mon Nov 14 04:30:07 UTC 2022","4730","","Storage page content test","","Storage page content test","Carrers page test","Carrers page test",""
"passed","Mon Nov 14 04:29:29 UTC 2022","Mon Nov 14 04:29:33 UTC 2022","3505","","Registration test","","Registration test","From main page","From main page",""
"passed","Mon Nov 14 04:29:24 UTC 2022","Mon Nov 14 04:29:32 UTC 2022","8203","","Main page tests","","Main page tests","Drop-down menu test","Drop-down menu test",""
"passed","Mon Nov 14 04:26:18 UTC 2022","Mon Nov 14 04:26:25 UTC 2022","7495","","Community page login test","","Community page login test","Login test","Login test",""
"passed","Mon Nov 14 04:26:58 UTC 2022","Mon Nov 14 04:27:04 UTC 2022","6348","","Community registration","","Community registration","Registration in community","Registration in community",""
"passed","Mon Nov 14 04:29:18 UTC 2022","Mon Nov 14 04:29:20 UTC 2022","2130","","Storage page content test","","Storage page content test","Network page test","Network page test",""
"failed","Mon Nov 14 04:28:29 UTC 2022","Mon Nov 14 04:28:52 UTC 2022","22973","","E2E Login test","","E2E Login test","Login with correct credentials","Login with correct credentials",""
